Time,Asset,Action,Quantity,Price,Strategy,PnL
2026-04-06 12:43,BTC,BUY,0.1,45000,Momentum,-8.237113215935674
2026-04-06 12:13,ETH,SELL,0.12,45200,Mean Reversion,-18.534132756044787
2026-04-06 11:43,ADA,BUY,0.14,45400,Breakout,-8.754946847728762
2026-04-06 11:13,SOL,SELL,0.16,45600,Momentum,17.92981964992586
2026-04-06 10:43,DOT,BUY,0.18,45800,Mean Reversion,9.899378386468122
2026-04-06 10:13,XRP,SELL,0.2,46000,Breakout,30.980940239455677
2026-04-06 09:43,LINK,BUY,0.22,46200,Momentum,24.48290900136179
2026-04-06 09:13,UNI,SELL,0.24,46400,Mean Reversion,3.381657751151039
2026-04-06 08:43,AAVE,BUY,0.26,46600,Breakout,-13.23140626803269
2026-04-06 08:13,MATIC,SELL,0.28,46800,Momentum,-0.7492546810452012
2026-04-06 07:43,BTC,BUY,0.3,47000,Mean Reversion,17.50145777797612
2026-04-06 07:13,ETH,SELL,0.32,47200,Breakout,22.454511026546534
2026-04-06 06:43,ADA,BUY,0.34,47400,Momentum,6.7142772417482135
2026-04-06 06:13,SOL,SELL,0.36,47600,Mean Reversion,-13.341569853297152
2026-04-06 05:43,DOT,BUY,0.38,47800,Breakout,13.791120731510446
2026-04-06 05:13,XRP,SELL,0.4,48000,Momentum,32.69959217333516
2026-04-06 04:43,LINK,BUY,0.42,48200,Mean Reversion,5.676325495214897
2026-04-06 04:13,UNI,SELL,0.44,48400,Breakout,23.36761223119666
2026-04-06 03:43,AAVE,BUY,0.46,48600,Momentum,4.187145642631986
2026-04-06 03:13,MATIC,SELL,0.48,48800,Mean Reversion,-31.686455095578456
2026-04-06 02:43,BTC,BUY,0.5,49000,Breakout,28.592558961068804
2026-04-06 02:13,ETH,SELL,0.52,49200,Momentum,42.98012109628267
2026-04-06 01:43,ADA,BUY,0.54,49400,Mean Reversion,25.191382917006777
2026-04-06 01:13,SOL,SELL,0.56,49600,Breakout,25.057687631560306
2026-04-06 00:43,DOT,BUY,0.58,49800,Momentum,-10.64201455603425
2026-04-06 00:13,XRP,SELL,0.6,50000,Mean Reversion,20.71720478924373
2026-04-05 23:43,LINK,BUY,0.62,50200,Breakout,38.65378599159063
2026-04-05 23:13,UNI,SELL,0.64,50400,Momentum,-2.0115723253398734
2026-04-05 22:43,AAVE,BUY,0.66,50600,Mean Reversion,-27.82196012984684
2026-04-05 22:13,MATIC,SELL,0.68,50800,Breakout,-13.57737595944612
2026-04-05 21:43,BTC,BUY,0.7,51000,Momentum,-0.24944965666476193
2026-04-05 21:13,ETH,SELL,0.72,51200,Mean Reversion,16.001276891102876
2026-04-05 20:43,ADA,BUY,0.74,51400,Breakout,21.09780254285458
2026-04-05 20:13,SOL,SELL,0.76,51600,Momentum,-19.693098657724374
2026-04-05 19:43,DOT,BUY,0.78,51800,Mean Reversion,-18.098904843379646
2026-04-05 19:13,XRP,SELL,0.8,52000,Breakout,-12.023526225148649
2026-04-05 18:43,LINK,BUY,0.82,52200,Momentum,31.850542884904485
2026-04-05 18:13,UNI,SELL,0.84,52400,Mean Reversion,10.941083825880405
2026-04-05 17:43,AAVE,BUY,0.86,52600,Breakout,33.31984794328152
2026-04-05 17:13,MATIC,SELL,0.88,52800,Momentum,14.617451222469654
2026-04-05 16:43,BTC,BUY,0.9,53000,Mean Reversion,20.526304394892264
2026-04-05 16:13,ETH,SELL,0.92,53200,Breakout,-8.350991357753035
2026-04-05 15:43,ADA,BUY,0.94,53400,Momentum,18.24457348764303
2026-04-05 15:13,SOL,SELL,0.96,53600,Mean Reversion,4.873203363783375
2026-04-05 14:43,DOT,BUY,0.98,53800,Breakout,-11.262946699695906
2026-04-05 14:13,XRP,SELL,1.0,54000,Momentum,21.68054372940263
2026-04-05 13:43,LINK,BUY,1.02,54200,Mean Reversion,28.78946262437225
2026-04-05 13:13,UNI,SELL,1.04,54400,Breakout,-7.955654395517126
2026-04-05 12:43,AAVE,BUY,1.06,54600,Momentum,-17.845014840687675
2026-04-05 12:13,MATIC,SELL,1.08,54800,Mean Reversion,29.218751200885535
2026-04-05 11:43,BTC,BUY,1.1,55000,Breakout,7.261356277647302
2026-04-05 11:13,ETH,SELL,1.12,55200,Momentum,22.69939337541871
2026-04-05 10:43,ADA,BUY,1.14,55400,Mean Reversion,-11.9383237870978
2026-04-05 10:13,SOL,SELL,1.16,55600,Breakout,29.92766507615258
2026-04-05 09:43,DOT,BUY,1.18,55800,Momentum,-1.0472694490808614
2026-04-05 09:13,XRP,SELL,1.2,56000,Mean Reversion,20.55041205741567
2026-04-05 08:43,LINK,BUY,1.22,56200,Breakout,29.10278524043366
2026-04-05 08:13,UNI,SELL,1.24,56400,Momentum,28.046037337390366
2026-04-05 07:43,AAVE,BUY,1.26,56600,Mean Reversion,-23.056099403334617
2026-04-05 07:13,MATIC,SELL,1.28,56800,Breakout,2.6583063003475864
2026-04-05 06:43,BTC,BUY,1.3,57000,Momentum,31.4773186674404
2026-04-05 06:13,ETH,SELL,1.32,57200,Mean Reversion,27.088972506082854
2026-04-05 05:43,ADA,BUY,1.34,57400,Breakout,29.4663085418236
2026-04-05 05:13,SOL,SELL,1.36,57600,Momentum,2.2559416485081307
2026-04-05 04:43,DOT,BUY,1.38,57800,Mean Reversion,-35.770986131658304
2026-04-05 04:13,XRP,SELL,1.4,58000,Breakout,16.34969845489537
2026-04-05 03:43,LINK,BUY,1.42,58200,Momentum,-12.051855323679202
2026-04-05 03:13,UNI,SELL,1.44,58400,Mean Reversion,-4.703369314805421
2026-04-05 02:43,AAVE,BUY,1.46,58600,Breakout,9.50508423289859
2026-04-05 02:13,MATIC,SELL,1.48,58800,Momentum,41.359879167783134
2026-04-05 01:43,BTC,BUY,1.5,59000,Mean Reversion,28.957068453083934
2026-04-05 01:13,ETH,SELL,1.52,59200,Breakout,-14.370613277276906
2026-04-05 00:43,ADA,BUY,1.54,59400,Momentum,-16.8466210732713
2026-04-05 00:13,SOL,SELL,1.56,59600,Mean Reversion,-26.028374968546842
2026-04-04 23:43,DOT,BUY,1.58,59800,Breakout,7.629371715789411
2026-04-04 23:13,XRP,SELL,1.6,60000,Momentum,29.15392042307674
2026-04-04 22:43,LINK,BUY,1.62,60200,Mean Reversion,-36.05537401295297
2026-04-04 22:13,UNI,SELL,1.64,60400,Breakout,15.21694343843054
2026-04-04 21:43,AAVE,BUY,1.66,60600,Momentum,-11.02006425982492
2026-04-04 21:13,MATIC,SELL,1.68,60800,Mean Reversion,-38.856855209995395
2026-04-04 20:43,BTC,BUY,1.7,61000,Breakout,21.32966222935586
2026-04-04 20:13,ETH,SELL,1.72,61200,Momentum,23.153561150882183
2026-04-04 19:43,ADA,BUY,1.74,61400,Mean Reversion,-10.80096963053159
2026-04-04 19:13,SOL,SELL,1.76,61600,Breakout,20.73848678113591
2026-04-04 18:43,DOT,BUY,1.78,61800,Momentum,17.816513223162218
2026-04-04 18:13,XRP,SELL,1.8,62000,Mean Reversion,-38.35117219943563
2026-04-04 17:43,LINK,BUY,1.82,62200,Breakout,33.43344009786198
2026-04-04 17:13,UNI,SELL,1.84,62400,Momentum,-6.12432134958336
2026-04-04 16:43,AAVE,BUY,1.86,62600,Mean Reversion,13.238969135784046
2026-04-04 16:13,MATIC,SELL,1.88,62800,Breakout,-0.31658840803583743
2026-04-04 15:43,BTC,BUY,1.9,63000,Momentum,5.497200856349686
2026-04-04 15:13,ETH,SELL,1.92,63200,Mean Reversion,26.320983081353162
2026-04-04 14:43,ADA,BUY,1.94,63400,Breakout,25.746130063069884
2026-04-04 14:13,SOL,SELL,1.96,63600,Momentum,-11.777522390504455
2026-04-04 13:43,DOT,BUY,1.98,63800,Mean Reversion,-18.3309133529522
2026-04-04 13:13,XRP,SELL,2.0,64000,Breakout,1.3517538610886746
2026-04-04 12:43,LINK,BUY,2.02,64200,Momentum,24.735900575254007
2026-04-04 12:13,UNI,SELL,2.04,64400,Mean Reversion,-19.030648757155404
2026-04-04 11:43,AAVE,BUY,2.06,64600,Breakout,-8.10089276748128
